V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""3178297""","""66""","""NA""","""NA""","""1""","""2""","""NA"""
"""2""","""58089803""","""56""","""29""","""14""","""4""","""1""","""3"""
"""3""","""46209783""","""49""","""33""","""9""","""6""","""2""","""1"""
"""4""","""52313074""","""36""","""31""","""11""","""6""","""NA""","""2"""
"""5""","""11639469""","""72""","""41""","""11""","""5""","""2""","""3"""
"""6""","""44215111""","""40""","""37""","""17""","""4""","""2""","""3"""
"""7""","""50995468""","""35""","""34""","""16""","""NA""","""2""","""3"""
"""8""","""59469803""","""44""","""38""","""13""","""7""","""2""","""3"""
"""9""","""37966136""","""52""","""38""","""18""","""NA""","""2""","""2"""
"""10""","""19135764""","""31""","""37""","""12""","""6""","""2""","""1"""
"""11""","""36474889""","""34""","""36""","""13""","""6""","""2""","""2"""
"""12""","""22058678""","""41""","""38""","""12""","""4""","""2""","""1"""
"""14""","""36193593""","""66""","""30""","""5""","""7""","""2""","""NA"""
"""15""","""47564011""","""45""","""35""","""13""","""3""","""1""","""3"""
"""16""","""22636449""","""51""","""33""","""NA""","""1""","""1""","""1"""
"""17""","""63061246""","""45""","""34""","""16""","""5""","""2""","""3"""
"""18""","""44045344""","""47""","""35""","""NA""","""1""","""2""","""3"""
"""19""","""28331963""","""32""","""40""","""18""","""6""","""2""","""3"""
"""20""","""74381042""","""51""","""37""","""17""","""3""","""2""","""5"""
"""21""","""93347803""","""34""","""29""","""14""","""5""","""2""","""5"""
"""22""","""55081136""","""56""","""29""","""NA""","""5""","""2""","""2"""
"""23""","""24168148""","""56""","""39""","""18""","""5""","""1""","""2"""
"""24""","""51832000""","""40""","""36""","""23""","""6""","""2""","""3"""
"""25""","""19871783""","""55""","""40""","""10""","""5""","""2""","""1"""
"""26""","""35840178""","""59""","""32""","""12""","""2""","""2""","""2"""
"""27""","""96029111""","""50""","""37""","""18""","""7""","""NA""","""5"""
"""28""","""53257560""","""59""","""31""","""18""","""5""","""1""","""3"""
"""29""","""40789511""","""57""","""38""","""13""","""7""","""2""","""2"""
"""30""","""55081136""","""46""","""32""","""15""","""2""","""2""","""3"""
"""31""","""15322875""","""39""","""37""","""10""","""2""","""1""","""1"""
"""32""","""45720136""","""44""","""38""","""20""","""5""","""2""","""3"""
"""33""","""36777486""","""29""","""28""","""18""","""3""","""2""","""3"""
"""34""","""66522148""","""52""","""39""","""18""","""5""","""1""","""5"""
"""35""","""10941394""","""31""","""40""","""9""","""5""","""2""","""1"""
"""36""","""30981593""","""30""","""30""","""16""","""4""","""2""","""2"""
"""37""","""25530563""","""68""","""40""","""23""","""3""","""1""","""5"""
"""38""","""89449560""","""65""","""33""","""15""","""4""","""2""","""6"""
"""39""","""48179023""","""41""","""34""","""12""","""NA""","""2""","""2"""
"""40""","""12468746""","""59""","""39""","""16""","""3""","""2""","""1"""
"""41""","""44444444""","""33""","""NA""","""16""","""5""","""2""","""3"""
"""42""","""38329857""","""41""","""39""","""14""","""5""","""1""","""3"""
"""43""","""25418403""","""28""","""38""","""16""","""5""","""2""","""3"""
"""44""","""8252852""","""64""","""NA""","""17""","""1""","""2""","""2"""
"""45""","""39893260""","""46""","""39""","""18""","""4""","""2""","""3"""
"""46""","""58948272""","""43""","""33""","""9""","""4""","""1""","""3"""
"""47""","""63034778""","""54""","""36""","""17""","""7""","""2""","""3"""
"""48""","""37108403""","""38""","""35""","""12""","""7""","""2""","""1"""
"""49""","""65790123""","""53""","""30""","""NA""","""5""","""1""","""3"""
"""50""","""57220820""","""39""","""37""","""19""","""1""","""2""","""5"""
